event_date,nearest_trading_date,event_label,window_half_width_days,close_on_nearest_trading_date,target_next_day_log_return,target_next_day_log_return_pct,local_3_trading_day_log_return,stress_profile_at_center
2022-01-05,2022-01-05,Fed minutes/rate repricing,3,4700.58,-0.0009641755290858112,-0.09641755290858113,-0.006464737103808751,0.45186276187760593
2022-02-10,2022-02-10,Hot CPI 7.5%,3,4504.08,-0.019151696234065794,-1.9151696234065794,-0.002858759236206432,0.45285120765585124
2022-02-24,2022-02-24,Russia-Ukraine invasion,4,4288.7,0.022126148364756827,2.212614836475683,-0.00984626325631836,0.45241517525927516
2022-03-07,2022-03-07,Oil/geopolitical risk shock,3,4201.09,-0.007260127998095252,-0.7260127998095253,-0.029384283555702967,0.46718234526387203
2022-03-16,2022-03-16,First Fed hike,3,4357.86,0.012272191404503483,1.2272191404503483,0.059303115437472645,0.45688418767085975
2022-05-04,2022-05-04,50bp FOMC / QT repricing,3,4300.17,-0.0363007239912506,-3.6300723991250603,-0.03464265060222273,0.4518711956561686
2022-05-18,2022-05-18,Retail margin / inflation shock,3,3923.68,-0.005850892213605512,-0.5850892213605512,-0.012538863196832404,0.4518712255599553
2022-06-10,2022-06-10,CPI 8.6%,4,3900.86,-0.039539873198958186,-3.953987319895819,-0.09331514188482543,0.6587406092075146
2022-06-15,2022-06-15,75bp FOMC,4,3789.99,-0.033052215017083934,-3.3052215017083935,-0.035504958842897345,0.6587406092074367
2022-07-13,2022-07-13,CPI 9.1%,3,3801.78,-0.0030031001895847553,-0.30031001895847553,-0.017730855454715207,0.4518711956665158
2022-07-27,2022-07-27,75bp FOMC relief,3,4023.61,0.012060363275690102,1.2060363275690102,0.0388650270538233,0.4518711956564443
2022-08-26,2022-08-26,Jackson Hole,4,4057.66,-0.006688723509263949,-0.668872350926395,-0.04298925241037414,0.4518808658935413
2022-09-13,2022-09-13,Hot CPI,4,3932.69,0.003381271704881856,0.3381271704881856,-0.03372356666519853,0.4647885519724652
2022-09-21,2022-09-21,75bp FOMC / dot plot,3,3789.93,-0.00846330926893181,-0.8463309268931809,-0.058007565115780896,0.5130157370437067
2022-10-13,2022-10-13,CPI reversal / positioning,3,3669.91,-0.023947163771951822,-2.394716377195182,0.02934868877856108,0.4518627619797602
2022-11-02,2022-11-02,75bp FOMC,3,3759.69,-0.01064240923898342,-1.064240923898342,-0.024459369861809507,0.4647704480574593
2022-11-10,2022-11-10,Cooler CPI rally,3,3956.37,0.00919835904482699,0.919835904482699,0.04743577967525707,0.4647704480574593
2022-11-30,2022-11-30,Powell Brookings pivot signal,3,4080.11,-0.000868000270271791,-0.08680002702717911,-0.0067988139709572,0.45187119575709805
